county,states,statefips,pci,household_income,family_income,population,num_of_households
Mahaska,Iowa,19,23788,47967,59173,22428,9073
Blount,Tennessee,47,23788,45991,56626,123722,48728
Butte,California,6,23787,43752,55917,220542,84816
Moultrie,Illinois,17,23786,46622,55610,14869,5676
Dinwiddie,Virginia,51,23781,52027,58543,27977,9932
Kankakee,Illinois,17,23779,50102,61559,112991,41245
Harvey,Kansas,20,23775,50287,65591,34722,13287
Lubbock,Texas,48,23773,44397,56425,282633,105277
Phillips,Kansas,20,23772,43059,55102,5573,2388
Dixon,Nebraska,31,23769,47325,57946,5953,2348
Rooks,Kansas,20,23768,42449,53029,5189,2349
Morgan,Alabama,1,23764,44800,55536,119673,46192
Transylvania,North Carolina,37,23757,41781,51702,32894,13981
Morrison,Minnesota,27,23753,47649,60155,33118,13416
Colfax,Nebraska,31,23751,51765,61841,10495,3686
Cape Girardeau,Missouri,29,23751,46516,57604,76322,29411
Hayes,Nebraska,31,23749,49125,56125,1142,477
Pointe Coupee,Louisiana,22,23742,45363,59064,22736,8818
Elk,Pennsylvania,42,23738,45767,55378,31799,13478
Pasco,Florida,12,23736,43888,53807,468194,182707
Douglas,Illinois,17,23732,52741,65220,19902,7509
Pamlico,North Carolina,37,23724,43853,54679,13115,5146
Price,Wisconsin,55,23723,42644,53902,14025,6776
DeWitt,Texas,48,23720,46454,55394,20269,6948
Hancock,Illinois,17,23714,43925,54700,18949,8101
Tom Green,Texas,48,23712,44545,57722,111969,42286
Adams,Iowa,19,23707,45871,56552,3973,1745
Norman,Minnesota,27,23707,45389,59103,6753,2737
DeKalb,Illinois,17,23696,53375,71343,104820,37844
Tippecanoe,Indiana,18,23691,44246,63086,175628,66667
Lincoln,Kansas,20,23686,40811,54167,3199,1414
Nance,Nebraska,31,23684,44286,54402,3707,1534
Lyon,Iowa,19,23683,52152,62459,11659,4425
Columbia,Pennsylvania,42,23681,44807,56917,67021,26225
Delaware County,New York,36,23677,44470,56427,47491,19844
Cheyenne,Kansas,20,23677,37875,53571,2708,1343
Nueces,Texas,48,23671,47057,54483,344257,123915
Shasta,California,6,23670,44651,54222,177966,68980
Bradford,Pennsylvania,42,23667,46963,56198,62624,24213
White,Indiana,18,23666,51444,60995,24542,9541
Armstrong,Pennsylvania,42,23661,45241,55063,68614,28525
Schuyler,Illinois,17,23656,48138,58547,7490,3056
Palo Pinto,Texas,48,23655,41670,51399,28017,10491
Cheyenne,Colorado,8,23647,51641,63938,2189,839
Cabell,West Virginia,54,23647,38374,52300,96604,40144
Hall,Georgia,13,23645,50853,58295,182841,61220
Spencer,Indiana,18,23641,52991,64930,20960,7984
Lafayette,Missouri,29,23637,50527,65057,33188,13117
Appomattox,Virginia,51,23636,50167,59252,15054,5803
Winkler,Texas,48,23629,48992,55668,7260,2709
Douglas,Georgia,13,23626,52691,58918,133486,46295
Fall River,South Dakota,46,23624,37667,58910,7001,3138
Richland,Illinois,17,23621,44070,57038,16213,6620
Cochise,Arizona,4,23608,45755,55120,131038,49174
Williamson,Illinois,17,23605,43125,54242,66606,26819
Sutter,California,6,23602,50408,57129,94787,31725
Riverside,California,6,23591,56529,63378,2228528,683144
Caribou,Idaho,16,23586,53586,63545,6867,2644
Caledonia,Vermont,50,23584,45395,54941,31157,12491
