county,states,statefips,pci,household_income,family_income,population,num_of_households
New York County,New York,36,76592,69659,86553,1628706,759460
Arlington,Virginia,51,62018,103208,139244,214861,94454
Falls Church City,Virginia,51,59088,120000,152857,12731,5020
Marin,California,6,56791,90839,117357,254643,102912
Santa Clara,California,6,56248,124055,124055,1927852,640215
Alexandria City,Virginia,51,54608,85706,107511,143684,65369
Pitkin,Colorado,8,51814,72745,93981,17173,7507
Los Alamos,New Mexico,35,51044,106686,124979,17979,7590
Fairfax County,Virginia,51,50532,110292,128596,1101071,389908
Hunterdon,New Jersey,34,50349,106143,125828,127047,46816
Borden,Texas,48,50042,71607,76250,649,225
Montgomery,Maryland,24,49038,98221,117408,989474,360563
Morris,New Jersey,34,48814,98633,117683,495261,179665
Fairfield,Connecticut,9,48721,82283,104250,926233,332655
San Francisco,California,6,48486,75604,90116,817501,345344
Howard,Maryland,24,48172,109865,128657,293821,106142
Westchester,New York,36,47984,81946,105341,956283,343561
Somerset,New Jersey,34,47803,99020,117393,326207,115531
Nantucket,Massachusetts,25,47331,85478,92500,10224,4069
Loudoun,Virginia,51,46565,122238,133550,326477,106997
North Slope,Alaska,2,46457,80761,82500,9484,1990
San Mateo,California,6,45732,88202,105844,729543,257941
Kalawao,Hawaii,15,45515,59375,88750,71,46
Goochland,Virginia,51,45039,80976,92042,21565,8058
Norfolk,Massachusetts,25,44692,84916,108943,677296,257451
Fairfax City,Virginia,51,44345,97242,113538,23027,8492
Douglas,Colorado,8,43634,101591,112930,293014,103780
Teton,Wyoming,56,43444,68078,83558,21575,7583
Bergen,New Jersey,34,43347,83794,102222,912795,335422
Middlesex,Massachusetts,25,42861,82090,104032,1522533,581120
Monmouth,New Jersey,34,42749,84526,105971,629735,233909
Summit,Utah,49,42462,83336,95879,37232,13627
Nassau,New York,36,42400,97690,112874,1343765,441955
Mineral,Colorado,8,42255,47083,68438,761,393
Chester,Pennsylvania,42,42210,86050,105278,503075,184788
Ozaukee,Wisconsin,55,42041,75457,92262,86708,34108
Clear Creek,Colorado,8,41716,67259,89583,9048,4024
Montgomery,Pennsylvania,42,41472,79183,99587,804621,307488
Williamson,Tennessee,47,41292,89779,104796,188935,66364
San Miguel,Colorado,8,40827,63594,77708,7496,3234
Anne Arundel,Maryland,24,40415,87430,101268,544426,199904
Putnam,New York,36,40309,95117,109188,99718,34496
Newport,Rhode Island,44,40293,71713,88962,82545,34774
Delaware County,Ohio,39,40189,89757,103564,178139,64208
Middlesex,Connecticut,9,39992,76994,98501,165690,66141
King,Washington,53,39911,71811,92510,1974567,802606
Fauquier,Virginia,51,39600,88409,103556,66015,23130
Hamilton,Indiana,18,39521,82468,99768,282977,103234
Eagle,Colorado,8,39497,74456,86167,52151,17966
James City County,Virginia,51,39133,76960,90406,68171,26883
Bristol,Rhode Island,44,38893,71238,93131,49426,19174
Johnson,Kansas,20,38827,74717,92512,552947,216304
Clarke,Virginia,51,38748,77597,95654,14191,5580
Williams,North Dakota,38,38738,76210,86285,25024,10411
DuPage,Illinois,17,38570,78487,95208,922803,336028
Poquoson City,Virginia,51,38444,81892,98848,12117,4591
Rockingham,New Hampshire,33,38399,77348,93420,296718,116262
Calvert,Maryland,24,38260,95477,107684,89332,30923
Contra Costa,California,6,38219,78756,94208,1065794,375855
Queen Anne's,Maryland,24,38108,87256,97909,48166,17292
Gilpin,Colorado,8,38022,63885,87639,5477,2504
Talbot,Maryland,24,38022,61597,74811,37859,16013
Lake,Illinois,17,38018,77469,92116,702099,241072
Boulder,Colorado,8,38011,67956,92667,301072,120521
Billings,North Dakota,38,37972,57083,69167,876,350
Sussex,New Jersey,34,37949,87335,100066,147924,54746
Collin,Texas,48,37839,82762,97421,811308,289752
San Juan,Washington,53,37719,53376,65067,15786,7753
Litchfield,Connecticut,9,37667,71338,87945,188629,75755
Waukesha,Wisconsin,55,37577,75850,92974,391200,153422
Juneau,Alaska,2,37558,81490,95112,31897,12099
Hennepin,Minnesota,27,37485,64403,84559,1170623,481263
Boone,Indiana,18,37482,67255,80907,58009,21908
Bucks,Pennsylvania,42,37466,76555,92907,625977,230366
Mercer,New Jersey,34,37465,73480,94267,368094,130754
Carver,Minnesota,27,37457,83773,96913,92770,33486
Broomfield,Colorado,8,37442,77998,96787,57171,22016
Prince William,Virginia,51,37401,98071,106544,416668,132442
Charles,Maryland,24,37277,93160,104078,148957,51247
Albemarle,Virginia,51,37239,67725,89889,100636,37964
Skagway,Alaska,2,37139,71667,77500,1080,412
Bristol Bay,Alaska,2,37024,79531,96458,933,384
Washington County,Rhode Island,44,37023,72138,91532,126627,49430
Suffolk,New York,36,36945,87763,100652,1495803,497347
Frederick,Maryland,24,36917,84570,98259,236668,86337
St. Johns,Florida,12,36836,64876,80707,197115,75558
Burlington,New Jersey,34,36835,78446,94324,449964,164979
Fulton,Georgia,13,36757,56857,75658,948554,368184
Washington County,Minnesota,27,36706,81540,94263,241315,88947
Stafford,Virginia,51,36574,97110,106322,131885,42178
Rappahannock,Virginia,51,36505,56438,66773,7448,3261
Oakland,Michigan,26,36458,65594,84182,1213406,486332
Collier,Florida,12,36439,55843,65980,328209,122972
York,Virginia,51,36373,82073,95392,65762,24071
Hinsdale,Colorado,8,36365,56667,76000,809,388
Divide,North Dakota,38,36303,55057,69632,2155,1035
Anchorage,Alaska,2,36214,77454,90466,295237,105208
Roberts,Texas,48,36172,67321,83333,1030,374
Union,South Dakota,46,36167,63468,74758,14575,5758
Carroll,Maryland,24,36153,84790,100643,167261,59909
Barnstable,Massachusetts,25,36142,60526,76311,215449,95398
Jefferson,Colorado,8,36087,68984,84957,540669,219562
Elbert,Colorado,8,36077,82118,89653,23295,8240
St. Mary's,Maryland,24,36017,85672,95186,107079,37589
Sublette,Wyoming,56,35944,77900,85885,10178,3502
Dallas,Iowa,19,35844,73847,90092,69526,26262
Kendall,Texas,48,35827,73410,86750,34951,12760
Alameda,California,6,35763,72112,88618,1535248,545071
Blaine,Idaho,16,35524,64042,76575,21294,9207
Scott,Minnesota,27,35467,86112,97693,132774,45630
Harford,Maryland,24,35425,80622,92642,246664,90708
Fayette,Georgia,13,35344,79977,91574,107105,37930
Denali,Alaska,2,35295,72500,99091,2020,716
Plymouth,Massachusetts,25,35220,75092,90431,497386,179617
Saratoga,New York,36,35176,69826,87058,221169,88460
Essex,Massachusetts,25,35167,67311,84185,750808,286008
Platte,Missouri,29,35143,67721,83110,90842,36781
Union,New Jersey,34,35089,68507,83164,540568,185483
Placer,California,6,34886,72725,87352,355924,132709
El Dorado,California,6,34884,69297,85253,180982,67885
Routt,Colorado,8,34873,62002,74559,23409,9647
Lincoln,South Dakota,46,34839,74751,85666,46693,17250
Dakota,Minnesota,27,34828,73732,88889,402306,154275
Napa,California,6,34795,70443,79700,137837,49431
St. Louis County,Missouri,29,34795,58910,75532,999725,403293
Hartford,Connecticut,9,34698,64967,81805,895827,347874
Rockwall,Texas,48,34617,86119,92837,81020,26820
Rockland,New York,36,34591,84951,99649,315069,98326
Forsyth,Georgia,13,34582,86569,99573,182916,58080
Orange,North Carolina,37,34465,55569,84770,136057,51403
Geauga,Ohio,39,34455,67663,81952,93610,34621
Tolland,Connecticut,9,34392,80529,95996,152366,54327
Hillsborough,New Hampshire,33,34390,69829,84430,402017,154324
Baltimore County,Maryland,24,34374,66486,81116,812261,313912
Middlesex,New Jersey,34,34345,79596,93519,817026,280988
Yakutat,Alaska,2,34317,72500,80875,607,254
King George,Virginia,51,34234,81753,90752,24151,8314
Petersburg Census Area,Alaska,2,34183,63934,84861,3806,1643
Douglas,Nevada,32,34123,60100,67597,47035,19455
Fort Bend,Texas,48,34084,85297,94931,608939,191406
Olmsted,Minnesota,27,34073,66252,83250,146063,57262
Loving,Texas,48,34068,68750,88438,87,33
Orange,California,6,34057,75422,84765,3051771,995512
Martin,Florida,12,34057,49846,68003,147786,59891
Summit,Colorado,8,34025,63697,79420,28091,11138
Monroe,Florida,12,33974,53607,63550,74213,28503
Denton,Texas,48,33855,74155,90086,687857,243394
Campbell,Wyoming,56,33850,79488,84746,46901,17108
Kent,Rhode Island,44,33814,62279,80038,165628,68880
Mountrail,North Dakota,38,33803,68722,76282,8280,3069
Oconee,Georgia,13,33801,75004,82625,33240,11485
Dunn,North Dakota,38,33788,60500,76346,3786,1438
New London,Connecticut,9,33782,66583,82076,274090,107066
Dane,Wisconsin,55,33712,61721,83509,496762,206982
Midland,Texas,48,33672,62993,72635,142289,50644
Llano,Texas,48,33634,44094,60285,19223,8519
Columbia,New York,36,33613,57336,72649,62674,25280
Dutchess,New York,36,33594,72525,88777,297385,107830
Oldham,Kentucky,21,33591,83391,91587,60940,19532
Warren,New Jersey,34,33555,70912,85091,108150,41463
Hanover,Virginia,51,33540,75070,88604,100328,36927
Storey,Nevada,32,33472,61573,64173,3981,1843
Dukes,Massachusetts,25,33363,66288,82452,16739,5891
Towner,North Dakota,38,33357,55521,67969,2285,1034
Shelby,Alabama,1,33313,68770,82558,198366,74144
Chittenden,Vermont,50,33281,63989,83887,157637,62587
Denver,Colorado,8,33251,50313,63705,619297,266069
Washtenaw,Michigan,26,33231,59055,85115,348560,135800
Travis,Texas,48,33206,58025,73951,1063248,411876
Delaware County,Pennsylvania,42,33179,64041,81523,559771,204771
Warren,Ohio,39,33172,72487,85636,215274,76546
Madison,Mississippi,28,33170,59904,73775,97151,36342
Wake,North Carolina,37,33166,66006,83568,929214,348627
Grand Isle,Vermont,50,33159,59509,69722,6984,3023
Henrico,Virginia,51,33115,61048,75640,311314,123683
McKenzie,North Dakota,38,33078,64866,77366,7377,2666
Cobb,Georgia,13,33069,63920,78058,699235,261242
Foster,North Dakota,38,33063,50677,68547,3355,1555
Madison,Montana,30,33062,47762,61672,7702,3542
Ouray,Colorado,8,33015,64601,72229,4475,1943
Comal,Texas,48,32980,65839,77324,112083,41954
Cape May,New Jersey,34,32948,56494,74112,96684,42312
Ventura,California,6,32930,76544,86301,829017,267076
Montgomery,Texas,48,32911,67766,79541,472162,163462
Burke,North Dakota,38,32908,53693,70096,2094,1007
Worcester,Maryland,24,32887,57952,68840,51479,20530
Cumberland,Maine,23,32880,57461,75432,283046,117359
Burleigh,North Dakota,38,32876,61811,82235,83906,34703
Cook,Minnesota,27,32868,52215,59643,5195,2614
Palm Beach,Florida,12,32858,52432,64260,1339221,526007
Sonoma,California,6,32835,63356,75896,487469,185660
Suffolk,Massachusetts,25,32835,53540,61449,735701,288240
Clackamas,Oregon,41,32781,64352,76549,380532,146527
Greeley,Kansas,20,32650,52847,58875,1202,493
Hudson,New Jersey,34,32641,58442,62168,644605,243875
Gloucester,New Jersey,34,32600,74524,87913,289098,104145
Arapahoe,Colorado,8,32595,60651,73649,585333,225552
Valdez-Cordova Census Area,Alaska,2,32579,74878,88480,9682,3424
Chesterfield,Virginia,51,32572,72088,83877,320430,113637
New Haven,Connecticut,9,32523,61996,79408,862611,328013
Sitka,Alaska,2,32521,69405,78000,8945,3554
Beaufort,South Carolina,45,32503,57316,66878,165354,64417
Botetourt,Virginia,51,32490,65935,74798,33076,12825
Mecklenburg,North Carolina,37,32482,55444,68083,947135,366689
New Castle,Delaware,10,32406,64537,79954,542784,200739
Nevada County,California,6,32346,57353,70148,98509,40991
Prince George's,Maryland,24,32344,73623,84808,873481,303441
McHenry,Illinois,17,32341,76145,87760,308060,108852
Albany,New York,36,32328,59394,81846,305279,122700
Sarasota,Florida,12,32313,49052,61339,383094,170555
Santa Fe,New Mexico,35,32298,52917,64737,145400,61012
Santa Cruz,California,6,32295,66519,80899,264808,93504
Oliver,North Dakota,38,32253,71250,81500,1840,753
St. Croix,Wisconsin,55,32220,68426,80740,84912,32114
Essex,New Jersey,34,32181,55095,69448,785853,277302
Fairbanks North Star,Alaska,2,32143,69223,82930,98656,35588
Livingston,Michigan,26,32129,72359,82959,182402,67691
New Kent,Virginia,51,32068,70618,78995,18791,6886
Bowman,North Dakota,38,32045,56964,76750,3168,1354
Richland,Montana,30,32036,58112,72115,10318,4270
Cavalier,North Dakota,38,32028,55904,72946,3952,1754
Washington County,Wisconsin,55,32020,66159,79911,132186,52053
LaMoure,North Dakota,38,31989,53691,65958,4136,1955
Bottineau,North Dakota,38,31969,51667,71217,6529,3028
Virginia Beach City,Virginia,51,31934,65219,76285,442151,164944
Madison,Alabama,1,31933,58434,75766,339279,132975
Richmond,New York,36,31823,72569,86133,470223,164609
Cumberland,Pennsylvania,42,31791,60826,77057,237449,95286
Aleutians West Census Area,Alaska,2,31790,81853,87159,5538,1033
Dickinson,Iowa,19,31790,56136,64798,16818,7981
Kitsap,Washington,53,31769,62413,74993,252687,97622
Mercer,North Dakota,38,31767,66534,80827,8456,3650
Monroe,Illinois,17,31758,68482,81766,33181,12506
Roanoke County,Virginia,51,31728,60795,75860,92824,37928
Barnes,North Dakota,38,31721,50274,67150,11085,4871
Lane,Kansas,20,31694,53021,64886,1616,808
Grand,Colorado,8,31684,64664,74418,14535,5227
Allegheny,Pennsylvania,42,31593,51366,70380,1226933,526004
Ketchikan Gateway,Alaska,2,31589,62519,85638,13595,5295
St. Charles,Missouri,29,31586,71077,83907,365101,135974
Terrell,Texas,48,31578,39479,68750,837,403
Carroll,New Hampshire,33,31558,50866,58867,47694,20922
Worcester,Massachusetts,25,31537,65223,81519,802688,299663
Sioux,Nebraska,31,31517,42014,56813,1229,553
Park,Colorado,8,31504,61570,76104,16131,7038
Kent,Maryland,24,31502,56259,72360,20130,7498
Adams,North Dakota,38,31502,47798,65859,2328,1101
Harris,Georgia,13,31482,69223,82259,32267,11426
Leelanau,Michigan,26,31462,55018,66570,21682,9103
Steele,North Dakota,38,31455,55735,67159,1976,890
Daniels,Montana,30,31449,46100,60000,1778,890
Stark,North Dakota,38,31412,62559,75333,25666,10439
Sheridan,Montana,30,31378,48667,68769,3473,1612
Spotsylvania,Virginia,51,31360,78345,87374,124319,41709
Snohomish,Washington,53,31349,68381,80856,724627,268722
Mathews,Virginia,51,31342,55192,71441,8943,3856
Merrimack,New Hampshire,33,31310,65353,80655,146710,56812
Miner,South Dakota,46,31288,48477,60083,2355,1053
Kendall,Illinois,17,31276,81765,91368,116366,38075
Kenai Peninsula,Alaska,2,31256,61793,75689,56163,21720
Powhatan,Virginia,51,31252,76548,87045,28108,9544
Piatt,Illinois,17,31190,63027,73890,16620,6546
Renville,North Dakota,38,31178,60847,77143,2512,1041
Chatham,North Carolina,37,31175,57091,66875,64886,26017
Grundy,Iowa,19,31164,56827,70837,12416,5073
Glasscock,Texas,48,31135,69107,98409,1176,409
Haines,Alaska,2,31096,52866,68207,2546,1245
Washington County,Oregon,41,31078,64180,76711,539608,201771
Teller,Colorado,8,31075,59040,73379,23276,9434
Williamson,Texas,48,31070,71803,82568,441445,154948
McLean,North Dakota,38,30992,53565,67636,9163,4021
Butler,Pennsylvania,42,30957,58230,74043,184535,73213
Columbia,Georgia,13,30949,69306,77373,128213,43975
Converse,Wyoming,56,30941,63918,75231,13937,5746
Island,Washington,53,30941,58455,69775,78806,33096
Stanley,South Dakota,46,30933,54620,61083,2966,1273
Windsor,Vermont,50,30932,52460,70467,56416,25024
Woodford,Illinois,17,30926,66639,78590,38903,14362
Galveston,Texas,48,30926,61877,76204,296669,110032
Audubon,Iowa,19,30919,48313,61845,6002,2684
Isle of Wight,Virginia,51,30903,63942,77524,35373,13560
Fluvanna,Virginia,51,30881,68288,79101,25860,9462
Larimer,Colorado,8,30740,58626,76194,305798,121423
Grafton,New Hampshire,33,30738,54912,71158,89166,35111
Lancaster,Virginia,51,30737,49248,66189,11303,5182
Medina,Ohio,39,30707,65951,77729,173252,65499
Parker,Texas,48,30692,64515,78626,118478,42322
San Diego,California,6,30668,62962,73495,3138265,1076483
Door,Wisconsin,55,30657,50438,63361,27826,13459
Anoka,Minnesota,27,30647,70380,81798,334027,122625
Camden,New Jersey,34,30592,61683,77369,513512,187941
Slope,North Dakota,38,30586,61667,74167,738,296
Orange,New York,36,30583,70458,85100,373902,125317
Indian River,Florida,12,30532,44772,56151,139356,58038
Middlesex,Virginia,51,30531,53309,64313,10851,4400
Dare,North Carolina,37,30529,55481,64404,34289,14624
Cass,North Dakota,38,30529,52590,74024,154080,65816
Belknap,New Hampshire,33,30518,58654,67570,60216,25049
Sweetwater,Wyoming,56,30517,71525,81595,44437,16682
Ocean,New Jersey,34,30477,61136,76822,578902,221774
Multnomah,Oregon,41,30475,52511,65897,747641,305939
McLean,Illinois,17,30460,62089,83812,171240,64016
Polk,Iowa,19,30442,59018,73043,438307,173164
Ulster,New York,36,30442,58590,72632,182086,69862
Hodgeman,Kansas,20,30440,52375,67000,1946,821
Nelson,North Dakota,38,30432,49839,64792,3101,1474
Jefferson,Montana,30,30397,60863,76469,11434,4527
Will,Illinois,17,30377,76147,86747,679688,222652
St. Tammany,Louisiana,22,30363,60799,74834,236832,87518
Honolulu,Hawaii,15,30361,72764,85440,964678,309803
Santa Barbara,California,6,30352,62779,72602,427288,141720
Warren,New York,36,30351,55904,66622,65584,28081
Hughes,South Dakota,46,30284,59338,83474,17238,6992
Ness,Kansas,20,30223,48800,61940,3095,1340
Sully,South Dakota,46,30218,54524,69345,1420,606
Sarpy,Nebraska,31,30189,69965,80985,162728,59606
Cook,Illinois,17,30183,54548,66187,5212372,1933335
Charleston,South Carolina,45,30158,50792,65394,358736,143717
La Plata,Colorado,8,30151,58080,67732,52039,20947
Chambers,Texas,48,30140,72489,82601,35570,12147
Gillespie,Texas,48,30117,53668,65457,25003,10655
Thomas,Nebraska,31,30116,55089,63333,734,323
Frederick,Virginia,51,30112,68424,76530,79453,29172
Wheeler,Texas,48,30097,51766,63000,5526,2319
Kane,Illinois,17,30082,69530,80085,518380,170358
Hood,Texas,48,30046,55754,64873,51756,20758
Greene,Ohio,39,30040,58080,73972,162588,62836
Saunders,Nebraska,31,30039,59870,74235,20800,8142
Goliad,Texas,48,30031,50923,63672,7281,3028
Rensselaer,New York,36,29987,59432,74519,159565,64242
Sangamon,Illinois,17,29974,55449,71338,198269,82807
San Luis Obispo,California,6,29954,58697,74885,272094,102154
Sargent,North Dakota,38,29950,53381,67132,3859,1741
Linn,Iowa,19,29943,57260,75761,213425,86052
Goodhue,Minnesota,27,29932,56836,73075,46259,18711
Warrick,Indiana,18,29927,62351,72764,60163,22454
Chesapeake City,Virginia,51,29905,69743,80767,225597,79421
Ontario,New York,36,29904,56479,70381,108311,43794
Natrona,Wyoming,56,29877,57791,69098,77343,31116
King,Texas,48,29836,65000,76250,321,126
Hendricks,Indiana,18,29830,68297,79943,148623,52946
Plumas,California,6,29806,45794,55183,19586,8997
Lander,Nevada,32,29800,72742,75857,5844,2010
Archuleta,Colorado,8,29793,48933,58222,12109,4881
Washington County,Vermont,50,29761,57281,70640,59427,24661
Thurston,Washington,53,29744,62229,74207,256080,100801
Emmet,Michigan,26,29718,50929,61644,32858,13545
Hamilton,Ohio,39,29681,48593,65392,802481,327914
New Hanover,North Carolina,37,29679,49835,67938,206403,86010
Jo Daviess,Illinois,17,29675,50817,63490,22602,9616
Cass,Nebraska,31,29638,64697,75769,25222,9701
Wright,Minnesota,27,29623,71598,81683,126142,44983
Cherokee,Georgia,13,29615,67261,78328,218277,76144
Jefferson,West Virginia,54,29605,65304,77447,54131,19889
Montour,Pennsylvania,42,29600,51482,62248,18379,7233
Johnson,Iowa,19,29592,53424,79964,134034,54005
Cameron,Louisiana,22,29559,64574,71310,6789,2529
Hemphill,Texas,48,29544,56379,66513,3959,1440
Midland,Michigan,26,29536,53076,65735,83842,33717
Matanuska-Susitna,Alaska,2,29534,71037,81821,91519,31123
Cecil,Maryland,24,29518,66689,79128,101435,36394
Maui,Hawaii,15,29517,63512,75407,156633,52623
Ramsey,Minnesota,27,29484,54247,71206,515732,205395
Hampshire,Massachusetts,25,29460,61227,81385,159267,58828
Southeast Fairbanks Census Area,Alaska,2,29437,56801,66369,7047,2326
Clay,Missouri,29,29406,60936,73380,225116,86934
Morton,North Dakota,38,29389,60065,69894,27874,11416
Strafford,New Hampshire,33,29369,58825,73260,123836,46968
Durham,North Carolina,37,29347,51853,66448,276494,111276
Calaveras,California,6,29329,55295,68401,45147,18702
Washington County,Nebraska,31,29328,65409,83670,20234,7647
Wells,North Dakota,38,29301,44132,57125,4220,1949
Berkshire,Massachusetts,25,29294,48450,65216,130545,55301
Woodford,Kentucky,21,29277,57580,71995,24988,9698
Northampton,Pennsylvania,42,29266,60097,73386,298439,112189
Pinellas,Florida,12,29262,45535,59491,920015,401708
Franklin,Massachusetts,25,29259,53663,67785,71408,30534
Fayette,Kentucky,21,29251,48398,67973,300843,123142
Boone,Kentucky,21,29235,67225,78101,121214,43255
Dauphin,Pennsylvania,42,29234,54066,68368,269035,108831
Sheridan,North Dakota,38,29219,43250,48403,1313,614
Bennington,Vermont,50,29196,50221,61270,36871,15442
Posey,Indiana,18,29187,58750,73319,25713,10050
Douglas,Nebraska,31,29180,53325,69754,524697,204226
Suffolk City,Virginia,51,29135,66085,78565,84842,30492
Lake,Ohio,39,29132,56018,69939,229850,94048
Pope,Minnesota,27,29128,52350,64740,10957,4758
Kossuth,Iowa,19,29127,51812,64283,15437,6728
York,Maine,23,29125,57348,70642,198220,81293
Randall,Texas,48,29124,58529,73144,123062,48080
Dodge,Minnesota,27,29107,69301,81702,20159,7326
Warren,Iowa,19,29088,62535,74558,46631,17378
Brazoria,Texas,48,29081,67603,79880,319493,107717
Walsh,North Dakota,38,29072,48592,61156,11102,4948
Clay,Iowa,19,29060,49035,64651,16604,7148
Lipscomb,Texas,48,29017,57978,64934,3379,1115
Scott,Iowa,19,28948,52735,70480,167080,67049
Gallatin,Montana,30,28939,52833,69556,91499,36973
Solano,California,6,28929,67177,76932,417258,141464
Nassau,Florida,12,28926,55315,63888,74163,28044
Moore,North Carolina,37,28913,49544,62099,89425,36997
Calumet,Wisconsin,55,28907,65130,75563,49288,18381
Kidder,North Dakota,38,28904,50000,57675,2429,1146
Lafayette,Louisiana,22,28901,51462,67061,224719,86504
Union,North Carolina,37,28894,65892,74132,205426,68211
Warren,Virginia,51,28889,61610,72597,37836,14387
Stillwater,Montana,30,28868,57906,69375,9173,3757
El Paso,Colorado,8,28867,57125,70728,634423,237039
Windham,Vermont,50,28867,50234,63509,44216,19417
Union,Ohio,39,28852,65086,79744,52683,18216
Bristol,Massachusetts,25,28837,55298,72018,549870,210037
Sagadahoc,Maine,23,28829,56733,69561,35194,15022
DeKalb,Georgia,13,28810,50856,60182,700308,264496
Hoonah-Angoon Census Area,Alaska,2,28806,49545,60000,2141,930
Salem,New Jersey,34,28772,59718,74469,65825,25003
Weston,Wyoming,56,28764,55461,74531,7153,2975
Clermont,Ohio,39,28761,60365,71914,198417,73728
Manassas City,Virginia,51,28752,71036,75810,39317,12072
Onondaga,New York,36,28746,54242,70143,467202,184855
Stevens,Minnesota,27,28746,54206,71563,9723,3700
Monroe,New York,36,28732,52394,68524,746548,297040
Bremer,Iowa,19,28727,61216,75486,24387,9258
Grundy,Illinois,17,28725,64541,78918,50064,18082
Addison,Vermont,50,28722,57565,69157,36811,14164
Bath,Virginia,51,28704,51365,55112,4686,2101
Bedford County,Virginia,51,28697,57596,69792,69175,27233
Seminole,Florida,12,28675,58175,68680,427184,147529
Gloucester,Virginia,51,28673,60519,72719,36868,13889
Washoe,Nevada,32,28670,53040,64556,425495,163198
Porter,Indiana,18,28669,62794,76004,165168,61502
Okaloosa,Florida,12,28600,54684,64668,185852,73253
Benton,Washington,53,28583,60485,72126,178992,65675
Sullivan,New Hampshire,33,28582,54463,65969,43398,17808
Johnson,Indiana,18,28575,61231,73059,141796,52239
Northumberland,Virginia,51,28568,51342,60747,12334,5691
Fallon,Montana,30,28563,51164,66544,3085,1199
Kodiak Island,Alaska,2,28562,68718,73887,13850,4501
Ward,North Dakota,38,28557,56580,67738,64008,25173
Powder River,Montana,30,28528,46250,56250,1669,720
Laramie,Wyoming,56,28505,55864,71483,93073,36859
Dundy,Nebraska,31,28502,47431,51932,1994,893
Wrangell,Alaska,2,28474,45841,55286,2371,1149
Davidson,Tennessee,47,28467,47335,58535,638395,256745
Clinton,Michigan,26,28449,60466,72958,75802,28534
Skamania,Washington,53,28449,53712,67354,11126,4452
Peoria,Illinois,17,28438,50712,65884,187117,75892
Eddy,New Mexico,35,28438,49165,60891,54284,19866
Washington County,Pennsylvania,42,28433,53693,68300,208047,84098
Miami,Kansas,20,28412,58936,73528,32682,12334
Lewis and Clark,Montana,30,28400,56243,70259,64143,26555
Seward,Nebraska,31,28359,59435,74309,16824,6165
Elko,Nevada,32,28358,70238,75231,50023,17599
Custer,South Dakota,46,28356,50074,61917,8306,3731
McHenry,North Dakota,38,28331,45343,61367,5593,2573
Menard,Illinois,17,28330,58190,73969,12687,5071
Douglas,South Dakota,46,28323,49200,58529,3000,1258
Schenectady,New York,36,28319,56061,73910,154821,58059
Washakie,Wyoming,56,28308,47104,64608,8468,3468
Cheyenne,Nebraska,31,28296,51529,64504,10022,4405
Franklin,Ohio,39,28283,50877,64693,1181824,468295
Wabasha,Minnesota,27,28282,53057,66629,21549,8890
Columbia,Wisconsin,55,28273,57922,70208,56647,22735
Tarrant,Texas,48,28266,56853,67436,1848423,659736
Jefferson,Washington,53,28266,46320,62737,29882,13801
Hamilton,New York,36,28265,51522,60170,4813,1854
Chase,Nebraska,31,28241,45610,51810,3984,1697
Pierce,Washington,53,28223,59204,70077,805434,300623
Crook,Wyoming,56,28212,53237,60909,7110,3010
York,Nebraska,31,28207,49633,63940,13762,5501
Broward,Florida,12,28205,51251,61526,1784889,663458
Fayette,Tennessee,47,28201,56618,65276,38502,14535
Franklin,Texas,48,28189,45523,61723,10611,4304
Outagamie,Wisconsin,55,28186,58318,71464,178013,69572
Ascension,Louisiana,22,28178,69070,77640,109920,38287
Kanawha,West Virginia,54,28174,46085,58481,192311,82756
Graham,Kansas,20,28146,47500,59000,2604,1192
Knox,Tennessee,47,28136,47694,64310,436983,181100
Somervell,Texas,48,28134,55269,70625,8537,3193
York,Pennsylvania,42,28132,58745,70001,436339,167592
Grant,North Dakota,38,28129,41694,59531,2372,1113
Hancock,Indiana,18,28111,62981,72559,70466,26071
O'Brien,Iowa,19,28086,48185,63912,14249,6098
Ramsey,North Dakota,38,28081,48604,63380,11473,4826
Johnson,Wyoming,56,28072,57004,63343,8595,3679
Sherburne,Minnesota,27,28071,73098,80939,89120,29948
Lincoln,Maine,23,28070,50181,59398,34297,14817
Iowa County,Iowa,19,28068,58008,73465,16323,6745
Eureka,Nevada,32,28056,64632,94648,1804,733
Irion,Texas,48,28055,50357,58875,1603,654
Westmoreland,Pennsylvania,42,28051,50736,65027,364090,152109
Mono,California,6,28046,61757,72237,14217,5268
Tazewell,Illinois,17,28037,56067,68994,135747,54428
Guthrie,Iowa,19,28030,50609,62036,10843,4641
Traverse,Minnesota,27,28030,45714,62258,3507,1510
Baylor,Texas,48,28021,33445,56656,3678,1798
Lac qui Parle,Minnesota,27,28014,48468,60873,7184,3074
Ottawa,Ohio,39,27979,53202,65311,41372,17614
Erie,New York,36,27978,50653,65897,919230,380152
Putnam,West Virginia,54,27957,54854,65900,56033,21391
Sheridan,Wyoming,56,27948,52008,67673,29376,12381
Plymouth,Iowa,19,27942,58888,73086,24923,9867
Perkins,Nebraska,31,27931,58625,66000,2949,1262
Jefferson,Kentucky,21,27925,46959,61622,746580,305832
Lehigh,Pennsylvania,42,27923,54923,67081,352068,133289
Chisago,Minnesota,27,27914,67157,75513,53691,19569
Hettinger,North Dakota,38,27910,47743,65577,2539,1097
Emmet,Iowa,19,27908,48601,63310,10141,4119
Harris,Texas,48,27899,53137,60594,4182285,1434694
Windham,Connecticut,9,27893,59333,74484,118115,44018
